freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
2655-2670,2.6550-2.6700,kHz,FIXED 5.410 | FIXED-SATELLITE (Earth-to-space) | (space-to-Earth) 5.415 | MOBILE except aeronautical mobile | BROADCASTING-SATELLITE | Earth exploration-satellite (passive) | Radio astronomy | Space research (passive),5.384A 5.413 5.416 5.149 5.208B,FIXED 5.410 | FIXED-SATELLITE (Earth-to-space) 5.415 | MOBILE except aeronautical mobile 5.384A | BROADCASTING-SATELLITE 5.413 5.416 | Earth exploration-satellite (passive) | Radio astronomy | Space research (passive),,,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; AM/FM radios, DAB receivers, TV sets; Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2670-2690,2.6700-2.6900,kHz,FIXED 5.410 | FIXED-SATELLITE (Earth-to-space) | (space-to-Earth) 5.208B 5.415 | MOBILE except aeronautical mobile | Earth exploration-satellite (passive) | Radio astronomy | Space research (passive),5.384A 5.149,FIXED 5.410 | FIXED-SATELLITE (Earth-to-space) 5.415 | MOBILE except aeronautical mobile 5.384A | MOBILE-SATELLITE (Earth-to-space) | Earth exploration-satellite (passive) | Radio astronomy | Space research (passive),,,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Radio telescopes, scientific receivers; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2690-2700,2.6900-2.7000,kHz,,,,EARTH EXPLORATION-SATELLITE (passive) | RADIO ASTRONOMY US74 | SPACE RESEARCH (passive),US246,,,"Radio telescopes, scientific receivers; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2700-2900,2.7000-2.9000,kHz,,,,METEOROLOGICAL AIDS | AERONAUTICAL RADIONAVI- | GATION 5.337 US18 | Radiolocation G2,5.423 G15,,5.423 US18,"Radar systems, speed guns, weather radar; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
2900-3100,2.9000-3.1000,kHz,,,,RADIOLOCATION 5.424A G56 | MARITIME RADIONAVIGATION,5.427 US44 US316,MARITIME RADIONAVIGATION | Radiolocation US44,5.427 US316,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3100-3300,3100-3300,MHz,,,,RADIOLOCATION G59 | Earth exploration-satellite (active) | Space research (active),US342,Earth exploration-satellite (active) | Space research (active) | Radiolocation,US342,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3300-3400,3300-3400,MHz,RADIOLOCATION | Amateur | Fixed | Mobile,5.149 5.429C 5.429D,RADIOLOCATION | Amateur,RADIOLOCATION US431B G2,US103 US342,,US103 US342,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Radar systems, speed guns, weather radar; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3400-3500,3400-3500,MHz,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | Amateur | Radiolocation 5.433,5.431A 5.431B 5.282,FIXED | FIXED-SATELLITE (space-to-Earth) | Amateur | Mobile 5.432 5.432B | Radiolocation 5.433,,,FIXED | MOBILE except aeronautical mobile,US103 US105 US433 US431B,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3500-3600,3500-3600,MHz,FIXED | FIXED-SATELLITE | (space-to-Earth) | MOBILE except aeronautical | mobile 5.431B | Radiolocation 5.433,,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | Radiolocation 5.433,RADIOLOCATION G59 | AERONAUTICAL RADIONAVIGATION | (ground-based) G110,US103 US431B,MHz: see previous page,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3550-3650,3550-3650,MHz,,,,RADIOLOCATION G59 | AERONAUTICAL RADIONAVIGATION | (ground-based) G110,US105 US107 US245 US433,,,"Radar systems, speed guns, weather radar; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3600-3700,3600-3700,MHz,FIXED | FIXED-SATELLITE | (space-to-Earth) | MOBILE except aeronautical | mobile 5.434 | Radiolocation 5.433,,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | Radiolocation,,,FIXED | FIXED-SATELLITE (space-to-Earth) US107 | MOBILE except aeronautical mobile,US245 US105 US433,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3650-3700,3650-3700,MHz,,,,,US109 US349,FIXED | FIXED-SATELLITE (space-to-Earth) NG169 | MOBILE except aeronautical mobile,NG185 US109 US349,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
3700-4200,3700-4200,MHz,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile,,,,,FIXED | MOBILE except aeronautical mobile,NG182 NG457A,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4200-4400,4200-4400,MHz,,,,AERONAUTICAL RADIONAVIGATION,5.440 US261,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4400-4940,4400-4940,MHz,,,,FIXED | MOBILE,US113 US245 US342,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4940-4990,4940-4990,MHz,,,,,5.339 US342 US385 G122,FIXED | MOBILE except aeronautical mobile,5.339 US342 US385,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
4990-5000,4990-5000,MHz,,,,RADIO ASTRONOMY US74 | Space research (passive),US246,,,"Radio telescopes, scientific receivers; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5000-5010,5000-5010,MHz,AERONAUTICAL MOBILE (R) US115 | AERONAUTICAL MOBILE-SATELLITE (R) 5.443AA | AERONAUTICAL RADIONAVIGATION US260 | RADIONAVIGATION-SATELLITE (Earth-to-space),US211,,,,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5010-5030,5010-5030,MHz,AERONAUTICAL MOBILE-SATELLITE (R) 5.443AA | AERONAUTICAL RADIONAVIGATION US260 | RADIONAVIGATION-SATELLITE (space-to-Earth) (space-to-space) 5.443B,US115 US211,,,,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5030-5091,5030-5091,MHz,AERONAUTICAL MOBILE (R) 5.443C | AERONAUTICAL MOBILE-SATELLITE (R) 5.443D | AERONAUTICAL RADIONAVIGATION US260,US211 US444,,,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5091-5150,5091-5150,MHz,AERONAUTICAL MOBILE US111 US444B | AERONAUTICAL MOBILE-SATELLITE (R) 5.443AA | AERONAUTICAL RADIONAVIGATION US260,US211 US344 US444 US444A,,,,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5150-5250,5150-5250,MHz,AERONAUTICAL RADIONAVIGATION,US260 US211 US307 US344,FIXED-SATELLITE (Earth-to-space) 5.447A | AERONAUTICAL RADIONAVIGATION US260,,,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5250-5255,5250-5255,MHz,EARTH EXPLORATION-SATELLITE | (active) | RADIOLOCATION G59 | SPACE RESEARCH (active) 5.447D,5.448A,Earth exploration-satellite (active) | Radiolocation | Space research,,,,,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5255-5350,5255-5350,MHz,EARTH EXPLORATION-SATELLITE | (active) | RADIOLOCATION G59 | SPACE RESEARCH (active),5.448A,Earth exploration-satellite (active) | Radiolocation | Space research (active),,,,,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5350-5460,5350-5460,MHz,EARTH EXPLORATION-SATELLITE | (active) 5.448B | RADIOLOCATION G56 | AERONAUTICAL RADIONAVIGATION | SPACE RESEARCH (active),5.449 US390 G130,AERONAUTICAL RADIONAVIGATION 5.449 | Earth exploration-satellite (active) 5.448B | Radiolocation | Space research (active),,,,,"Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5460-5470,5460-5470,MHz,,,,EARTH EXPLORATION-SATELLITE | (active) | RADIOLOCATION G56 | RADIONAVIGATION 5.449 US65 | SPACE RESEARCH (active),5.448B US49 G130,RADIONAVIGATION 5.449 US65 | Earth exploration-satellite (active) | Radiolocation | Space research (active),5.448B US49,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5470-5570,5470-5570,MHz,,,,EARTH EXPLORATION-SATELLITE | (active) | RADIOLOCATION G56 | MARITIME RADIONAVIGATION US65 | SPACE RESEARCH (active),5.448B US50 G131,RADIOLOCATION | MARITIME RADIONAVIGATION US65 | Earth exploration-satellite (active) | Space research (active),US50,"GPS receivers, GNSS devices; Satellite phones, VSAT terminals, satellite internet; Radar systems, speed guns, weather radar; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5570-5600,5570-5600,MHz,,,,RADIOLOCATION G56 | MARITIME RADIONAVIGATION US65,US50 G131,RADIOLOCATION | MARITIME RADIONAVIGATION US65,US50,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5600-5650,5600-5650,MHz,,,,METEOROLOGICAL AIDS | RADIOLOCATION G56 | MARITIME RADIONAVIGATION US65,5.452 US50 G131,METEOROLOGICAL AIDS | RADIOLOCATION | MARITIME RADIONAVIGATION US65,5.452 US50,"GPS receivers, GNSS devices; Radar systems, speed guns, weather radar; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5850-5925,5850-5925,MHz,FIXED | FIXED-SATELLITE | (Earth-to-space) | MOBILE | Amateur | Radiolocation,5.150,FIXED | FIXED-SATELLITE | (Earth-to-space) | MOBILE | Radiolocation,,,FIXED-SATELLITE (Earth-to-space) US245 | MOBILE NG160 | Amateur,5.150,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
5925-6425,5925-6425,MHz,,,,,,FIXED | FIXED-SATELLITE (Earth-to-space),NG457A,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6425-6525,6425-6525,MHz,,,,,5.440 5.458,FIXED-SATELLITE (Earth-to-space) | MOBILE,5.440 5.458,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6525-6700,6525-6700,MHz,,,,,5.458 US342,FIXED | FIXED-SATELLITE (Earth-to-space),5.458 US342,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
6700-7125,6700-7125,MHz,,,,,5.458,FIXED | FIXED-SATELLITE (Earth-to-space) | (space-to-Earth) 5.441,5.458 5.458A 5.458B,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7125-7145,7125-7145,MHz,,,,FIXED,5.458 G116,,5.458,"Point-to-point microwave links, satellite earth stations",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7145-7190,7145-7190,MHz,,,,FIXED | SPACE RESEARCH (deep space)(Earth-to-space) US262,5.458 G116,,5.458 US262,"Point-to-point microwave links, satellite earth stations; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7190-7235,7190-7235,MHz,,,,EARTH EXPLORATION-SATELLITE (Earth-to-space) 5.460A | FIXED | SPACE RESEARCH (Earth-to-space) 5.460,5.460B 5.458 G134,,,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7235-7250,7235-7250,MHz,,,,EARTH EXPLORATION-SATELLITE (Earth-to-space) 5.460A | FIXED,5.458,,5.458,"Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7250-7300,7250-7300,MHz,,,,FIXED-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) | Fixed,G117,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7300-7375,7300-7375,MHz,,,,FIXED | FIXED-SATELLITE (space-to-Earth) | Mobile-satellite (space-to-Earth),G117,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
7375-7450,7375-7450,MHz,,,,FIXED | FIXED-SATELLITE (space-to-Earth) | MOBILE except aeronautical mobile | MARITIME MOBILE-SATELLITE (space-to-Earth) 5.461AA | Mobile-satellite except maritime mobile-satellite (space-to-Earth),5.461AB G117,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
